Image Name: Capture 2	
Slide Name: Slide1.sld	
Capture Date: 10/23/2020	
Capture Time: 17:18:02	
Plane	Time	Elapsed (ms)	PMT 1 (1) Mean 	PMT 1 (1) Min 	PMT 1 (1) Max 	PMT 1 (2) Mean 	PMT 1 (2) Min 	PMT 1 (2) Max 	PMT 1 (3) Mean 	PMT 1 (3) Min 	PMT 1 (3) Max 	PMT 1 (4) Mean 	PMT 1 (4) Min 	PMT 1 (4) Max 	PMT 1 (5) Mean 	PMT 1 (5) Min 	PMT 1 (5) Max 	PMT 2 (1) Mean 	PMT 2 (1) Min 	PMT 2 (1) Max 	PMT 2 (2) Mean 	PMT 2 (2) Min 	PMT 2 (2) Max 	PMT 2 (3) Mean 	PMT 2 (3) Min 	PMT 2 (3) Max 	PMT 2 (4) Mean 	PMT 2 (4) Min 	PMT 2 (4) Max 	PMT 2 (5) Mean 	PMT 2 (5) Min 	PMT 2 (5) Max 	
78	17:18:02	31800	3490.358	418.000	7267.000	4576.504	282.000	8383.000	1613.616	173.000	8213.000	2169.407	174.000	8076.000	1122.597	144.000	4311.000	730.228	13.000	3670.000	1003.927	12.000	4292.000	2132.020	0.000	8383.000	2079.464	0.000	7651.000	4042.583	0.000	8383.000	
79	17:18:02	32087	3480.849	819.000	7029.000	4518.220	926.000	8383.000	1651.373	166.000	6960.000	2169.290	134.000	8029.000	1123.203	238.000	4788.000	758.142	0.000	4333.000	853.203	1.000	3391.000	2125.682	0.000	8383.000	2072.128	0.000	8096.000	3965.705	0.000	8383.000	
80	17:18:02	32373	3444.216	148.000	7295.000	4464.983	682.000	8383.000	1631.269	177.000	8209.000	2167.844	244.000	8233.000	1151.612	205.000	5057.000	623.384	2.000	3179.000	874.746	7.000	3643.000	2140.382	0.000	8383.000	2106.672	0.000	7815.000	4023.862	0.000	8383.000	
81	17:18:02	32658	3362.203	365.000	8166.000	4608.224	551.000	8383.000	1612.684	296.000	7854.000	2167.170	229.000	8150.000	1128.334	216.000	4993.000	724.767	8.000	4719.000	1004.190	0.000	4523.000	2141.183	0.000	8383.000	2064.763	0.000	7321.000	4005.708	0.000	8383.000	
82	17:18:02	32945	3356.108	689.000	7904.000	4412.116	527.000	8383.000	1629.239	147.000	7627.000	2174.842	258.000	8101.000	1123.558	201.000	4948.000	647.052	7.000	3831.000	881.780	5.000	3351.000	2139.382	0.000	8383.000	2098.570	0.000	7406.000	3982.833	0.000	8383.000	
83	17:18:02	33233	3426.371	56.000	8298.000	4588.716	541.000	8383.000	1619.979	120.000	7839.000	2131.719	166.000	8383.000	1140.290	147.000	5704.000	693.397	6.000	3828.000	961.440	5.000	5234.000	2051.657	0.000	8383.000	2123.119	0.000	7787.000	3953.214	0.000	8383.000	
84	17:18:02	33518	3473.483	548.000	6988.000	4642.858	871.000	8383.000	1615.930	50.000	7383.000	2121.795	235.000	7871.000	1107.964	194.000	4685.000	703.190	2.000	3578.000	913.940	3.000	4299.000	2092.814	0.000	8383.000	2074.811	0.000	7679.000	3883.546	0.000	8383.000	
85	17:18:02	33804	3582.522	230.000	8208.000	4702.341	575.000	8383.000	1589.125	179.000	8383.000	2158.576	218.000	8383.000	1122.705	266.000	5428.000	678.362	3.000	4495.000	908.336	0.000	3322.000	2015.919	0.000	8366.000	2093.522	0.000	7378.000	3897.130	0.000	8383.000	
86	17:18:02	34091	3504.491	133.000	8271.000	4619.069	455.000	8335.000	1632.354	186.000	6800.000	2178.807	203.000	7859.000	1094.682	151.000	5030.000	715.888	0.000	4710.000	883.996	0.000	3572.000	2002.973	0.000	8383.000	2053.100	0.000	7987.000	3873.099	0.000	8383.000	
87	17:18:02	34377	3648.103	375.000	8290.000	4545.272	1073.000	8383.000	1623.465	154.000	7586.000	2172.937	149.000	7913.000	1096.424	121.000	5209.000	714.961	3.000	3649.000	1014.750	0.000	4348.000	2091.440	0.000	8383.000	2023.920	0.000	7426.000	3828.849	0.000	8383.000	
88	17:18:02	34663	3535.957	397.000	7869.000	4432.767	1108.000	8383.000	1608.518	169.000	8212.000	2129.805	167.000	8383.000	1107.268	116.000	5211.000	652.879	1.000	2905.000	924.332	3.000	4835.000	2055.683	0.000	8383.000	2007.677	0.000	7067.000	3879.340	0.000	8383.000	
89	17:18:02	34949	3418.672	246.000	6935.000	4494.879	376.000	8383.000	1608.403	208.000	8260.000	2124.686	37.000	8330.000	1104.598	263.000	5450.000	743.534	5.000	3538.000	909.216	0.000	3989.000	1994.419	0.000	8295.000	1922.243	0.000	7350.000	3888.327	0.000	8383.000	
90	17:18:02	35235	3394.009	656.000	8383.000	4535.616	461.000	8383.000	1585.729	166.000	7234.000	2160.569	115.000	8262.000	1119.021	202.000	4846.000	641.556	0.000	3517.000	914.047	8.000	3546.000	2014.578	0.000	8383.000	2030.384	0.000	7720.000	3989.486	0.000	8383.000	
91	17:18:02	35521	3347.116	461.000	8383.000	4474.707	489.000	8383.000	1594.232	149.000	7225.000	2154.684	186.000	7815.000	1120.313	183.000	4579.000	760.642	2.000	3503.000	861.228	2.000	4661.000	2012.773	0.000	8383.000	2061.178	0.000	7325.000	3961.623	0.000	8383.000	
92	17:18:02	35806	3474.358	491.000	8361.000	4527.487	884.000	8383.000	1627.637	176.000	8223.000	2142.327	189.000	8383.000	1138.778	196.000	4998.000	713.030	8.000	3880.000	845.642	0.000	3963.000	2115.090	0.000	8383.000	2081.168	0.000	7872.000	3991.782	0.000	8383.000	
93	17:18:02	36092	3404.966	316.000	7669.000	4647.172	762.000	8383.000	1602.809	173.000	7987.000	2123.769	209.000	7955.000	1139.572	197.000	4970.000	667.845	1.000	3156.000	992.526	0.000	5980.000	2100.868	0.000	8383.000	2102.392	0.000	7821.000	4050.155	0.000	8383.000	
94	17:18:02	36377	3598.134	487.000	7094.000	4564.043	434.000	8383.000	1591.960	241.000	6959.000	2155.917	195.000	8383.000	1119.390	218.000	5187.000	676.039	8.000	3084.000	873.927	4.000	4762.000	2116.528	0.000	8383.000	2096.477	0.000	8322.000	4002.114	0.000	8383.000	
95	17:18:02	36663	3469.698	454.000	7071.000	4276.112	666.000	7988.000	1602.677	164.000	7714.000	2152.850	146.000	8284.000	1100.205	153.000	4239.000	677.328	0.000	3908.000	839.953	5.000	3792.000	2083.156	0.000	8383.000	2105.084	0.000	8153.000	3902.061	0.000	8383.000	
96	17:18:02	36949	3499.573	408.000	8354.000	4623.414	700.000	8383.000	1601.776	208.000	7471.000	2152.990	181.000	8383.000	1111.113	189.000	5239.000	704.642	0.000	3188.000	988.552	1.000	4382.000	2069.982	0.000	8116.000	2072.832	0.000	8120.000	3965.299	0.000	8383.000	
97	17:18:02	37235	3473.836	432.000	7135.000	4581.759	371.000	8242.000	1620.343	229.000	7288.000	2166.122	163.000	7789.000	1113.624	148.000	4896.000	662.552	2.000	3600.000	957.091	0.000	3877.000	2043.938	0.000	8383.000	2114.281	0.000	7355.000	3975.875	0.000	8383.000	
98	17:18:02	37520	3364.961	459.000	7564.000	4362.875	414.000	8383.000	1593.757	142.000	7366.000	2123.724	107.000	7878.000	1126.983	204.000	5394.000	666.069	0.000	3506.000	896.052	7.000	3523.000	2088.921	0.000	8383.000	2038.153	0.000	7995.000	3981.229	0.000	8383.000	
99	17:18:02	37806	3435.004	410.000	7403.000	4567.858	600.000	8383.000	1649.494	270.000	7558.000	2167.301	187.000	7992.000	1125.996	211.000	5062.000	747.345	0.000	3445.000	783.280	4.000	4025.000	2109.128	0.000	8383.000	2059.194	0.000	7837.000	3972.756	0.000	8383.000	
