Image Name: Capture 2	
Slide Name: Slide1.sld	
Capture Date: 10/23/2020	
Capture Time: 17:18:02	
Plane	Time	Elapsed (ms)	PMT 1 (1) Mean 	PMT 1 (1) Min 	PMT 1 (1) Max 	PMT 1 (2) Mean 	PMT 1 (2) Min 	PMT 1 (2) Max 	PMT 1 (3) Mean 	PMT 1 (3) Min 	PMT 1 (3) Max 	PMT 1 (4) Mean 	PMT 1 (4) Min 	PMT 1 (4) Max 	PMT 1 (5) Mean 	PMT 1 (5) Min 	PMT 1 (5) Max 	PMT 2 (1) Mean 	PMT 2 (1) Min 	PMT 2 (1) Max 	PMT 2 (2) Mean 	PMT 2 (2) Min 	PMT 2 (2) Max 	PMT 2 (3) Mean 	PMT 2 (3) Min 	PMT 2 (3) Max 	PMT 2 (4) Mean 	PMT 2 (4) Min 	PMT 2 (4) Max 	PMT 2 (5) Mean 	PMT 2 (5) Min 	PMT 2 (5) Max 	
17	17:18:02	10936	3541.039	737.000	7222.000	4283.366	261.000	8383.000	1652.865	107.000	7313.000	2108.124	151.000	8308.000	1078.881	209.000	4444.000	672.897	0.000	3234.000	860.974	4.000	4015.000	1896.573	0.000	8383.000	2050.545	0.000	7474.000	3673.515	0.000	8383.000	
18	17:18:02	11222	3515.328	138.000	7270.000	4475.310	440.000	8383.000	1613.657	206.000	7828.000	2134.750	181.000	8296.000	1079.428	189.000	5105.000	748.573	5.000	4430.000	818.655	0.000	3837.000	1914.336	0.000	8383.000	2098.305	0.000	7942.000	3707.454	0.000	8383.000	
19	17:18:02	11508	3607.116	860.000	8383.000	4442.763	687.000	8383.000	1654.880	187.000	7319.000	2139.261	185.000	7967.000	1096.837	115.000	4789.000	666.552	0.000	3527.000	838.634	0.000	3465.000	1968.813	0.000	8383.000	2018.912	0.000	7836.000	3805.083	0.000	8383.000	FRAP timelapse timepoint: 20 500 ms 1 repetition all regions power 2 25 (Ph2P RS)	
20	17:18:02	12479	3757.970	824.000	8083.000	4483.384	717.000	8383.000	1722.760	164.000	7797.000	2137.205	190.000	8360.000	1107.665	144.000	4927.000	757.776	0.000	4734.000	862.478	0.000	4482.000	2331.267	0.000	8383.000	1872.957	0.000	7320.000	3819.588	0.000	8383.000	
21	17:18:02	12764	3697.246	301.000	7744.000	4400.302	1084.000	8383.000	1689.009	197.000	8110.000	2116.578	206.000	8191.000	1074.109	161.000	5488.000	721.668	5.000	3733.000	821.254	0.000	3806.000	2286.539	0.000	8383.000	1871.803	0.000	7273.000	3610.091	0.000	8383.000	
22	17:18:02	13050	3692.677	166.000	7961.000	4611.159	546.000	8383.000	1685.205	94.000	8083.000	2143.989	176.000	8128.000	1077.865	193.000	4757.000	635.034	1.000	3029.000	879.379	0.000	3600.000	2208.801	0.000	8383.000	1842.236	0.000	8068.000	3701.515	0.000	8383.000	
23	17:18:02	13336	3581.220	638.000	7232.000	4348.254	906.000	8302.000	1689.765	139.000	7777.000	2155.043	15.000	8383.000	1094.039	177.000	5372.000	760.418	0.000	3643.000	840.345	0.000	4739.000	2201.875	0.000	8383.000	1853.997	0.000	7182.000	3752.050	0.000	8383.000	
24	17:18:02	13621	3616.500	239.000	7739.000	4509.198	456.000	8383.000	1680.653	197.000	8014.000	2107.175	210.000	8102.000	1069.561	237.000	5528.000	627.733	4.000	4342.000	781.586	2.000	4992.000	2153.210	0.000	8383.000	1916.882	0.000	7527.000	3685.061	0.000	8383.000	
25	17:18:02	13907	3603.707	640.000	8146.000	4520.401	476.000	8383.000	1654.989	185.000	8288.000	2112.030	202.000	8369.000	1079.264	195.000	4721.000	684.017	9.000	2997.000	801.978	0.000	3774.000	2084.955	0.000	8383.000	1892.868	0.000	7847.000	3670.466	0.000	8383.000	
26	17:18:02	14194	3625.250	476.000	8225.000	4463.957	865.000	7899.000	1627.121	188.000	7345.000	2155.954	188.000	8383.000	1062.981	235.000	6015.000	676.103	6.000	2933.000	851.983	7.000	5168.000	2023.077	0.000	8383.000	1901.970	0.000	7302.000	3672.140	0.000	8383.000	
